Erste n.oe.Brandschaden-      Versicherungsaktien-          gesellschaft                                                0000RossauerlÑnde 47-49           A 1090  wien                          000732
Pero Modelle                  Bekleidungsfabrikations       Gesellschaft m.b.H.                                         0000Blitzkohlenstra·e 127         D 4350  Recklinghausen-SÅd            005722
Wickels-Metallpapier-Werke KG.                                                                                          0000Jahnstra·e 34-36              D 8510  FÅrth                         005732
Winzer Max                    Polstermîbelfabrik                                                                        0000                              D 8621  Untersiemau                   005734
Konrad Schmid                 Gesellschaft mbH                                                                          0000Ufergasse 49                  A 3500  Krems                         000742
Spittaler Baumarkt            Gesellschaft m.b.H.                                                                       0000Frachtenbahnhof West          A 9802  Spittal/Drau                  001341
"Express" Internationale      Spedition Aktiengesellschaft                                                              0000Wohllebengasse 18             A 1041  Wien                          005607
Fahnler Vinzenz               Tankstelle                                                                                0000Vîslauerstrasse 31            A 2500  Baden                         000752
Falcon Airfreight             Speditionsgesellschaft mbH                                                                0000Landstra·e Hauptstra·e 152    A 1030  Wien                          000755
Favoritner GerÅstbau          Gesellschaft mbH                                                                          0000Collmanngasse 5               A 1100  Wien                          000763
"feibra" Werbung              Gesellschaft mbH                                                                          0000Halirschgasse 16              A 1170  Wien                          000862
Felbermayer Fritz             Tapezierer und Dekorateur                                                                 0000Waltersdorfer Stra·e 45       A 2500  Baden                         000767
E. + H. Fenninger             Werkzeuggro·handels OHG                                                                   0000Jaquingasse 31                A 1030  Wien                          000774
Georg Fe·l                    Gesellschaft mbH & Co KG                                                                  0000Florianigasse 21              A 3910  Zwettl                        000780
August Fischer KG             Gesellschaft mbH                                                                          0000FranzensbrÅckenstra·e 18      A 1020  Wien                          000785
PrÑsenta-Video-Filmprodkution Gesellschaft m.b.H.                                                                       0000Theaterplatz 1                A 9020  Klagenfurt                    005954
Fobau Baubedarf               Handelsgesellschaft mbH                                                                   0000Felberstra·e 20               A 1150  Wien                          000801
FOLEX TECHNISCHE FOLIEN       Gesellschaft mbH                                                                          0101Jochen Rindt Str. 19          A 1232  Wien                          000803
Ing.Otto Folger               Elektronische GerÑte          Gesellschaft mbH                                            0000Blindengasse 36               A 1080  Wien                          000805
Forschungsfîrderungsfonds fÅr die gewerbliche Wirtschaft                                                                0000KÑrntner Stra·e 21-23         A 1015  Wien                          000855
H. & F. Fîrster               Gesellschaft mbH                                                                          0000Hernalser Hauptstra·e 51      A 1170  Wien                          000857
Forstverwaltung Heiligenkreuz                                                                                           0000                              A 2532  Heiligenkreuz                 000861
Eduard Hildebrand             Gesellschaft mbH                                                                          0000Don Bosco Gasse 1-5           A 1232  Wien                          001549
Frisch-Fischimport            Gesellschaft mbH                                                                          0000Franzensgasse 3               A 1050  Wien                          000875
J.u.A.Frischeis               Gesellschaft mbH                                                                          0000Gerbergasse 2a                A 2000  Stockerau                     000879
FrÅhwirt Wilfried             Glaserei                                                                                  0000Wienerstrasse                 A 7400  Oberwart                      000887
